ab,bb,hr,pos,rank,avg,id,name,k,r,games,rbi,team,sb,slg,obp
443,,20.0,"2B,3B,OF",272,.239,7558,Kelly Johnson,,53.0,,62.0,NYY,10.0,,
0.0,,0.0,SS,273,.000,9557,Javier Baez,,0.0,,0.0,ChC,0.0,,
447,,7.0,OF,275,.260,8762,Lorenzo Cain,,58.0,,53.0,KC,17.0,,
444,,12.0,SS,277,.245,7560,Stephen Drew,,58.0,,60.0,Bos,5.0,,
558,,10.0,2B,281,.294,7016,Omar Infante,,65.0,,56.0,KC,9.0,,
485,,10.0,OF,282,.276,9281,Avisail Garcia,,58.0,,48.0,CWS,11.0,,
582,,4.0,OF,283,.277,8213,Denard Span,,75.0,,47.0,Was,20.0,,
341,,7.0,OF,284,.273,8777,Peter Bourjos,,59.0,,32.0,StL,14.0,,
297,,6.0,SS,285,.276,9526,Chris Owings,,44.0,,30.0,Ari,8.0,,
403,,10.0,OF,286,.278,9466,Junior Lake,,55.0,,35.0,ChC,14.0,,
282,,9.0,3B,287,.245,9337,Matt Davidson,,34.0,,40.0,CWS,1.0,,
318,,9.0,"2B,SS",288,.270,9237,Josh Rutledge,,48.0,,32.0,Col,11.0,,
430,,6.0,2B,290,.272,9103,Kolten Wong,,54.0,,31.0,StL,16.0,,
449,,24.0,OF,291,.245,7373,Josh Willingham,,61.0,,77.0,Min,2.0,,
379,,20.0,OF,292,.266,7485,Carlos Quentin,,56.0,,63.0,SD,0.0,,
577,,14.0,SS,293,.258,8628,Zack Cozart,,78.0,,54.0,Cin,2.0,,
467,,7.0,"2B,OF",297,.248,8648,Dustin Ackley,,58.0,,41.0,Sea,6.0,,
459,,19.0,1B,298,.231,8653,Justin Smoak,,49.0,,51.0,Sea,0.0,,
511,,17.0,OF,303,.288,6863,Marlon Byrd,,69.0,,67.0,Phi,3.0,,
398,,6.0,OF,309,.294,8717,Jon Jay,,60.0,,45.0,StL,10.0,,
408,,11.0,"1B,OF",314,.284,8742,Daniel Nava,,66.0,,55.0,Bos,2.0,,
368,,6.0,OF,319,.255,7835,Rajai Davis,,53.0,,31.0,Det,44.0,,
407,,15.0,C,322,.241,7939,Jarrod Saltalamacchia,,54.0,,55.0,Mia,2.0,,
399,,9.0,OF,324,.251,7513,Nate McLouth,,57.0,,27.0,Was,20.0,,
508,,11.0,1B,329,.283,7725,James Loney,,49.0,,62.0,TB,2.0,,
503,,9.0,OF,332,.272,8473,Gerardo Parra,,68.0,,44.0,Ari,13.0,,
404,,9.0,OF,334,.282,7665,Chris Denorfia,,59.0,,39.0,SD,12.0,,
444,,24.0,OF,344,.241,5665,Raul Ibanez,,55.0,,67.0,LAA,2.0,,
508,,15.0,OF,346,.280,7710,Andre Ethier,,65.0,,68.0,LAD,3.0,,
367,,14.0,OF,377,.256,8054,Nate Schierholtz,,42.0,,48.0,ChC,5.0,,
435,,14.0,OF,379,.234,8538,Michael Saunders,,61.0,,47.0,Sea,16.0,,
417,,19.0,1B,394,.249,8772,Mitch Moreland,,54.0,,55.0,Tex,1.0,,
517,,4.0,2B,398,.292,6966,Marco Scutaro,,64.0,,46.0,SF,4.0,,
464,,24.0,"1B,3B",399,.220,8030,Mark Reynolds,,63.0,,71.0,Mil,3.0,,
396,,16.0,OF,400,.245,8239,Matt Joyce,,54.0,,53.0,TB,6.0,,
336,,8.0,OF,409,.229,8528,Drew Stubbs,,49.0,,30.0,Col,17.0,,
325,,14.0,OF,413,.249,8145,Justin Ruggiano,,39.0,,39.0,ChC,12.0,,
465,,18.0,OF,415,.265,8398,Dayan Viciedo,,53.0,,63.0,CWS,0.0,,
0.0,,0.0,"1B,3B",421,.000,6613,Michael Young,,0.0,,0.0,LAD,0.0,,
533,,22.0,3B,423,.263,8683,Matt Dominguez,,64.0,,86.0,Hou,0.0,,
526,,10.0,SS,426,.260,7938,Yunel Escobar,,63.0,,53.0,TB,4.0,,
399,,10.0,"2B,3B,SS",428,.253,8260,Mike Aviles,,51.0,,50.0,Cle,11.0,,
440,,14.0,"C,OF",440,.261,7564,Ryan Doumit,,46.0,,58.0,Atl,0.0,,
386,,10.0,OF,454,.277,8927,Andy Dirks,,59.0,,39.0,Det,7.0,,
