ab,bb,hr,pos,rank,avg,id,name,k,r,games,rbi,team,sb,slg,obp
240,31,4,OF,116,.288,3756,Christian Yelich,66,34,,16,Mia,10,.396,.370
525,40,6,OF,117,.263,1432,Michael Bourn,132,75,,50,Cle,23,.360,.316
558,51,18,2B,118,.244,3468,Brian Dozier,120,72,,66,Min,14,.414,.312
539,52,8,OF,119,.273,1985,Brett Gardner,127,81,,52,NYY,24,.416,.344
136,11,11,OF,120,.279,3964,Khris Davis,34,27,,27,Mil,3,.596,.353
385,46,12,OF,121,.226,2489,Josh Reddick,86,54,,56,Oak,9,.379,.307
552,52,12,OF,122,.272,2177,Austin Jackson,129,99,,49,Det,8,.417,.337
597,55,8,OF,123,.286,4527,Norichika Aoki,40,80,,37,KC,20,.370,.356
600,59,6,SS,124,.252,539,Jimmy Rollins,93,65,,39,Phi,22,.348,.318
210,24,1,SS,125,.243,4448,Jonathan Villar,71,26,,8,Hou,18,.319,.321
250,17,3,OF,126,.252,4557,Adam Eaton,44,40,,22,CWS,5,.360,.314
607,50,17,OF,127,.264,1663,Alejandro De Aza,147,84,,62,CWS,20,.405,.323
478,23,13,2B,128,.297,1365,Howie Kendrick,89,55,,54,LAA,6,.439,.335
550,23,6,SS,129,.271,1363,Erick Aybar,59,68,,54,LAA,12,.382,.301
--,--,--,"1B, OF",130,--,1013,Corey Hart,--,--,,--,Sea,--,--,--
549,77,22,"1B, OF",131,.246,995,Nick Swisher,138,74,,63,Cle,1,.423,.341
486,23,10,3B,132,.267,3734,Nolan Arenado,72,49,,52,Col,2,.405,.301
53,8,3,1B,133,.151,703,Mark Teixeira,19,5,,12,NYY,0,.340,.270
417,37,22,OF,134,.276,1885,Colby Rasmus,135,57,,66,Tor,0,.501,.338
413,51,11,C,135,.230,1466,Miguel Montero,110,44,,42,Ari,0,.344,.318
315,16,0,OF,136,.305,2789,Ben Revere,36,37,,17,Phi,22,.352,.338
351,31,7,2B,137,.265,4573,Anthony Rendon,69,40,,35,Wsh,1,.396,.329
556,40,10,OF,138,.284,2318,Michael Brantley,67,66,,73,Cle,17,.396,.332
454,64,20,1B,139,.238,2469,Justin Smoak,119,53,,50,Sea,0,.412,.334
354,21,21,"C, OF",140,.243,5444,Evan Gattis,81,44,,65,Atl,0,.480,.291
--,--,--,OF,141,--,3679,Oscar Taveras,--,--,,--,StL,--,--,--
531,50,19,3B,142,.234,2289,Todd Frazier,125,63,,73,Cin,6,.407,.314
415,65,12,OF,143,.263,2068,Dexter Fowler,105,71,,42,Hou,19,.407,.369
503,11,17,C,144,.272,404,A.J. Pierzynski,76,48,,70,Bos,1,.425,.297
462,29,21,OF,145,.251,1730,Nate Schierholtz,94,56,,68,ChC,6,.470,.301
18,0,0,OF,146,.278,3656,Nick Castellanos,1,1,,0,Det,0,.278,.278
286,23,11,1B,147,.266,1083,Ryan Howard,95,34,,43,Phi,0,.465,.319
442,54,13,SS,148,.253,1204,Stephen Drew,124,57,,67,FA,6,.443,.333
514,29,12,3B,149,.321,2212,Chris Johnson,116,54,,68,Atl,0,.457,.358
409,35,11,SS,150,.303,895,Jhonny Peralta,98,50,,55,StL,3,.457,.358
--,--,--,OF,151,--,4551,George Springer,--,--,,--,Hou,--,--,--
--,--,--,2B,152,--,5601,Alexander Guerrero,--,--,,--,LAD,--,--,--
539,46,2,OF,153,.249,2237,Eric Young Jr.,100,70,,32,NYM,46,.336,.310
366,35,16,"OF, 2B",154,.235,1202,Kelly Johnson,99,41,,52,NYY,7,.410,.305
506,70,29,"1B, OF, DH",155,.223,2186,Chris Carter,212,64,,82,Hou,2,.451,.320
323,24,9,C,156,.238,2263,Devin Mesoraco,61,31,,42,Cin,0,.362,.287
478,50,16,2B,157,.251,2202,Neil Walker,85,62,,53,Pit,1,.418,.339
280,23,5,OF,158,.282,1339,Angel Pagan,36,44,,30,SF,9,.414,.334
511,72,20,1B,159,.237,953,Adam LaRoche,131,70,,62,Wsh,4,.403,.332
244,9,7,OF,160,.283,3146,Avisail Garcia,59,31,,31,CWS,3,.422,.309
462,47,9,3B,161,.262,2224,David Freese,106,53,,60,LAA,1,.381,.340
567,26,12,SS,162,.254,2830,Zack Cozart,102,74,,63,Cin,0,.381,.284
532,31,24,OF,163,.291,739,Marlon Byrd,144,75,,88,Phi,2,.511,.336
293,18,11,C,164,.294,4583,Yan Gomes,67,45,,38,Cle,2,.481,.345
195,21,8,OF,165,.282,3898,Kole Calhoun,41,29,,32,LAA,2,.462,.347
453,20,10,2B,166,.318,806,Omar Infante,44,54,,51,KC,5,.450,.345
